strategy,fullvol,mean_bvol,vov,level,conc_meas,conc_pred,signed,residual,fratio
garch_skewt,0.2057,0.19575,0.06655,0.0057,0.00996,0.01131,-0.00425,0.00706,1.0198
garch_normal,0.20146,0.19147,0.06572,0.00146,0.00998,0.01128,-0.00853,0.00275,1.02616
gjr_skewt,0.20213,0.19252,0.06493,0.00213,0.00961,0.01095,-0.00748,0.00347,1.03501
gjr_normal,0.19875,0.18877,0.06533,-0.00125,0.00998,0.01131,-0.01123,8e-05,1.0416
egarch_skewt,0.20662,0.19639,0.06774,0.00662,0.01023,0.01168,-0.00361,0.00808,1.02
egarch_normal,0.20261,0.19213,0.06757,0.00261,0.01048,0.01188,-0.00787,0.00401,1.02113
har,0.19876,0.18911,0.06436,-0.00124,0.00966,0.01095,-0.01089,6e-05,1.04003
rfsv,0.20206,0.18982,0.07176,0.00206,0.01224,0.01356,-0.01018,0.00338,1.0208
ewma,0.22252,0.21065,0.07542,0.02252,0.01187,0.0135,0.01065,0.02415,0.99052
rv,0.22314,0.21156,0.07476,0.02314,0.01158,0.01321,0.01156,0.02477,1.00031
trailing_rv21,0.2229,0.21144,0.07446,0.0229,0.01146,0.01311,0.01144,0.02455,
rfsv_h002,0.2041,0.19157,0.07293,0.0041,0.01253,0.01388,-0.00843,0.00545,1.01284
rfsv_h005,0.2017,0.18947,0.07164,0.0017,0.01223,0.01354,-0.01053,0.00302,1.02251
rfsv_h010,0.198,0.18615,0.0699,-0.002,0.01185,0.01312,-0.01385,-0.00072,1.03682
rfsv_h015,0.19481,0.18311,0.06884,-0.00519,0.01169,0.01294,-0.01689,-0.00395,1.04862
bench_const_lev,0.19828,0.16818,0.10657,-0.00172,0.0301,0.03376,-0.03182,0.00195,
bench_uncond_vol,0.19459,0.16362,0.10694,-0.00541,0.03097,0.03495,-0.03638,-0.00144,
bench_buy_hold,0.26792,0.22625,0.14571,0.06792,0.04167,0.04692,0.02625,0.07317,
