strategy,block_days,point,ci90_lo,ci90_hi
garch_skewt,42,0.04875202165526815,0.04367265123342867,0.052692806057676844
garch_normal,42,0.04906662247881569,0.04410528317467035,0.052695780768663214
gjr_skewt,42,0.04764176283945889,0.04265233403425449,0.051562092412158776
gjr_normal,42,0.04877730923328128,0.04359092385470406,0.05230617872491538
egarch_skewt,42,0.04875404908042754,0.04348435621792205,0.053010726282391826
egarch_normal,42,0.050121585681241525,0.04438233093008489,0.05379887961352595
ewma,42,0.05318832086615465,0.04701445455132576,0.05819706400123315
rv,42,0.053601500899798,0.0472892529911443,0.05840431323584399
har,42,0.049182835014056424,0.044768214683045655,0.05297629402985411
rfsv,42,0.05392645383392888,0.047571498149744394,0.057266153754241045
rfsv_h002,42,0.05402527769796726,0.047560048300524904,0.05757333904250972
rfsv_h005,42,0.05397072764082798,0.04759411036575452,0.057266384341521724
rfsv_h010,42,0.054184260508786636,0.047814089687262994,0.057127950310145864
rfsv_h015,42,0.05482594789742209,0.04833969407706221,0.05754732063091153
bench_buy_hold,42,0.09725234234548873,0.0786165250748333,0.11207768910210839
bench_const_lev,42,0.09019970897245713,0.07717919575097228,0.09441717034951318
bench_uncond_vol,42,0.09135620588672527,0.07851779675894806,0.09605178757061146
trailing_rv21,42,0.05328441650840626,0.04711175692698157,0.05819952331156343
garch_skewt,105,0.04875202165526815,0.044063480292452085,0.05415419776039276
garch_normal,105,0.04906662247881569,0.044511135506957185,0.054164102750187605
gjr_skewt,105,0.04764176283945889,0.04270523447336185,0.05286320474770667
gjr_normal,105,0.04877730923328128,0.043744172458202515,0.05390093559812067
egarch_skewt,105,0.04875404908042754,0.04351622973609775,0.05444329668622848
egarch_normal,105,0.050121585681241525,0.044534810401444656,0.0554898584278221
ewma,105,0.05318832086615465,0.04710007030388041,0.059674052954936344
rv,105,0.053601500899798,0.04761215688394742,0.06002389670470782
har,105,0.049182835014056424,0.045379341209154794,0.05441446312861012
rfsv,105,0.05392645383392888,0.048391036956994773,0.0584941157157154
rfsv_h002,105,0.05402527769796726,0.04853307564640122,0.05876363513951535
rfsv_h005,105,0.05397072764082798,0.0484594102700822,0.05846036410035381
rfsv_h010,105,0.054184260508786636,0.04864451625713474,0.058277455127391194
rfsv_h015,105,0.05482594789742209,0.0492666972846351,0.05867238386367408
bench_buy_hold,105,0.09725234234548873,0.07677097878726245,0.12007388311811769
bench_const_lev,105,0.09019970897245713,0.07851619518050924,0.09892735266557352
bench_uncond_vol,105,0.09135620588672527,0.07951790072763568,0.10091094854196285
trailing_rv21,105,0.05328441650840626,0.04736219329223522,0.05978466629159794
garch_skewt,210,0.04875202165526815,0.043431692886293734,0.055509963163157705
garch_normal,210,0.04906662247881569,0.044100388994468304,0.055180080876101316
gjr_skewt,210,0.04764176283945889,0.04231884283613843,0.05423552988988385
gjr_normal,210,0.04877730923328128,0.043407003722745606,0.05486451747852982
egarch_skewt,210,0.04875404908042754,0.04295606862288742,0.05592457208660229
egarch_normal,210,0.050121585681241525,0.044095006909113214,0.05663334495107589
ewma,210,0.05318832086615465,0.046497705870411965,0.061223062728517
rv,210,0.053601500899798,0.04724029421008678,0.06129228029328922
har,210,0.049182835014056424,0.04502785480904083,0.05525788602862052
rfsv,210,0.05392645383392888,0.04856941559219261,0.05902789382507667
rfsv_h002,210,0.05402527769796726,0.0486568870982613,0.05933112694371624
rfsv_h005,210,0.05397072764082798,0.04864256442713967,0.05899813641005573
rfsv_h010,210,0.054184260508786636,0.04889411978954252,0.05880630858064179
rfsv_h015,210,0.05482594789742209,0.04943541738511095,0.05925545800042434
bench_buy_hold,210,0.09725234234548873,0.07419700218797623,0.12709175252958163
bench_const_lev,210,0.09019970897245713,0.07825915487072549,0.10221403971146795
bench_uncond_vol,210,0.09135620588672527,0.07959089000536183,0.10369738640774075
trailing_rv21,210,0.05328441650840626,0.0469372752290507,0.061041741924824304
