,garch_skewt,garch_normal,gjr_skewt,gjr_normal,egarch_skewt,egarch_normal,ewma,rv,har,rfsv,rfsv_h002,rfsv_h005,rfsv_h010,rfsv_h015,bench_buy_hold,bench_const_lev,bench_uncond_vol,trailing_rv21
garch_skewt,0.0,0.6835,0.0825,0.434,0.5275,0.762,0.9995,0.9995,0.7475,0.998,0.999,0.998,0.997,0.9975,1.0,1.0,1.0,1.0
garch_normal,0.3165,0.0,0.024,0.248,0.4035,0.742,0.984,0.988,0.6835,0.996,0.996,0.996,0.994,0.9975,1.0,1.0,1.0,0.985
gjr_skewt,0.9175,0.976,0.0,0.945,0.9635,0.99,0.999,0.9985,0.9375,0.999,0.9995,0.999,0.9985,0.9995,1.0,1.0,1.0,0.9995
gjr_normal,0.566,0.752,0.055,0.0,0.6055,0.937,0.9755,0.9835,0.7725,0.9905,0.9915,0.991,0.9915,0.995,1.0,1.0,1.0,0.9795
egarch_skewt,0.4725,0.5965,0.0365,0.3945,0.0,0.842,0.996,0.9945,0.708,0.991,0.993,0.9905,0.99,0.994,1.0,1.0,1.0,0.9955
egarch_normal,0.238,0.258,0.01,0.063,0.158,0.0,0.914,0.9345,0.477,0.941,0.9505,0.941,0.943,0.966,1.0,1.0,1.0,0.9255
ewma,0.0005,0.016,0.001,0.0245,0.004,0.086,0.0,0.6745,0.058,0.537,0.574,0.5405,0.549,0.6275,1.0,1.0,1.0,0.612
rv,0.0005,0.012,0.0015,0.0165,0.0055,0.0655,0.3255,0.0,0.0235,0.44,0.4745,0.447,0.4585,0.5425,1.0,1.0,1.0,0.165
har,0.2525,0.3165,0.0625,0.2275,0.292,0.523,0.942,0.9765,0.0,0.999,0.9995,0.999,0.9995,0.9995,1.0,1.0,1.0,0.9685
rfsv,0.002,0.004,0.001,0.0095,0.009,0.059,0.463,0.56,0.001,0.0,0.871,0.7265,0.607,0.839,1.0,1.0,1.0,0.512
rfsv_h002,0.001,0.004,0.0005,0.0085,0.007,0.0495,0.426,0.5255,0.0005,0.129,0.0,0.211,0.435,0.7195,1.0,1.0,1.0,0.4835
rfsv_h005,0.002,0.004,0.001,0.009,0.0095,0.059,0.4595,0.553,0.001,0.2735,0.789,0.0,0.5735,0.8405,1.0,1.0,1.0,0.508
rfsv_h010,0.003,0.006,0.0015,0.0085,0.01,0.057,0.451,0.5415,0.0005,0.393,0.565,0.4265,0.0,0.9515,1.0,1.0,1.0,0.5
rfsv_h015,0.0025,0.0025,0.0005,0.005,0.006,0.034,0.3725,0.4575,0.0005,0.161,0.2805,0.1595,0.0485,0.0,1.0,1.0,1.0,0.4205
bench_buy_hold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1825,0.2625,0.0
bench_const_lev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175,0.0,0.802,0.0
bench_uncond_vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7375,0.198,0.0,0.0
trailing_rv21,0.0,0.015,0.0005,0.0205,0.0045,0.0745,0.388,0.835,0.0315,0.488,0.5165,0.492,0.5,0.5795,1.0,1.0,1.0,0.0
