strategy,realized_vol,mean_block_vol,signed_dev,mad_nonoverlap,dispersion_vov
garch_skewt,0.205705,0.195748,-0.004252,0.048808,0.06655
garch_normal,0.201458,0.191473,-0.008527,0.04901,0.065724
gjr_skewt,0.20213,0.192524,-0.007476,0.047746,0.06493
gjr_normal,0.198754,0.18877,-0.01123,0.048742,0.065335
egarch_skewt,0.20662,0.196394,-0.003606,0.049035,0.067745
egarch_normal,0.202606,0.192127,-0.007873,0.049976,0.067573
har,0.198761,0.189106,-0.010894,0.049259,0.064365
rfsv,0.20206,0.189819,-0.010181,0.053556,0.071761
ewma,0.222521,0.21065,0.01065,0.053464,0.075424
rv,0.223143,0.211561,0.011561,0.053565,0.07476
trailing_rv21,0.222897,0.211437,0.011437,0.05333,0.074462
rfsv_h002,0.2041,0.191566,-0.008434,0.053719,0.072927
rfsv_h005,0.2017,0.189474,-0.010526,0.053582,0.071639
rfsv_h010,0.198003,0.186154,-0.013846,0.05369,0.0699
rfsv_h015,0.194807,0.183113,-0.016887,0.054379,0.06884
bench_const_lev,0.198279,0.168184,-0.031816,0.090314,0.106566
bench_uncond_vol,0.194589,0.163619,-0.036381,0.091454,0.106937
bench_buy_hold,0.267921,0.226254,0.026254,0.097415,0.14571
