a,b,dm,p,lag,acf1_diff,loss
garch_skewt,gjr_skewt,0.7880890239497773,0.430644634944767,25,0.8676709995198868,qlike
garch_skewt,rv,-4.094159583512601,4.2370242042233386e-05,25,0.844085776023744,qlike
garch_skewt,har,0.8411129716770265,0.40028464881754977,25,0.7853819675212882,qlike
garch_skewt,rfsv,-0.5461923961453431,0.5849336924260546,25,0.8729658094306767,qlike
garch_skewt,trailing_rv21,-4.135363760043443,3.5439281686810986e-05,25,0.8493432363189558,qlike
gjr_skewt,rv,-3.778396730850676,0.00015784128152285248,25,0.8488938798975397,qlike
gjr_skewt,har,0.5845421408858089,0.5588556218474738,25,0.7310371492633152,qlike
gjr_skewt,rfsv,-0.8342115704327143,0.4041617722101787,25,0.8588166651230679,qlike
gjr_skewt,trailing_rv21,-3.7713573998462833,0.00016236193243712727,25,0.8549293337033664,qlike
ewma,garch_skewt,2.796392771875861,0.005167655579091601,25,0.9622834268738831,qlike
ewma,gjr_skewt,2.6069309961652825,0.009135776895893954,25,0.959022911670385,qlike
ewma,rv,0.05574730088295057,0.9555431174092268,25,0.8421712969670572,qlike
ewma,har,2.1773963397057985,0.02945100855399252,25,0.925566369931908,qlike
ewma,rfsv,1.729117149767717,0.08378813037932442,25,0.9249972787729819,qlike
ewma,trailing_rv21,0.100530765712589,0.9199229590447158,25,0.8430292994272567,qlike
rv,trailing_rv21,0.2640441661040117,0.7917458863708322,25,0.8829556745068938,qlike
har,rv,-3.2323958126511414,0.0012275689115244237,25,0.91909228501634,qlike
har,rfsv,-1.2219997231945976,0.2217077316638114,25,0.9358168188027518,qlike
har,trailing_rv21,-3.1830091629477715,0.0014575300168175875,25,0.9212836919109216,qlike
rfsv,rv,-2.4167697092145786,0.01565892059553864,25,0.9456380118434505,qlike
rfsv,trailing_rv21,-2.2660601791658146,0.02344769891694365,25,0.9502084473190252,qlike
egarch_skewt,garch_skewt,1.2057683589222576,0.2279068188257254,25,0.8984521288824933,qlike
egarch_skewt,gjr_skewt,1.6293508547666768,0.10323876620593464,25,0.9386134570274824,qlike
egarch_skewt,ewma,-2.4020204585530216,0.016304796524093668,25,0.9280819959134142,qlike
egarch_skewt,rv,-2.824625857554944,0.0047335853769556735,25,0.8491415204722379,qlike
egarch_skewt,har,1.275686652265828,0.20206630882705845,25,0.8699464105396287,qlike
egarch_skewt,rfsv,0.29173067419385484,0.7704925542738286,25,0.8980133175540198,qlike
egarch_skewt,trailing_rv21,-2.8150740271709673,0.004876599916964208,25,0.8544798697153242,qlike
garch_skewt,gjr_skewt,1.5539431086259459,0.12019798767514267,25,0.8035348798473939,mse
garch_skewt,rv,-2.133617418154853,0.03287411098647408,25,0.9400447425806636,mse
garch_skewt,har,1.0770770300768808,0.28144585392378474,25,0.8548811525684196,mse
garch_skewt,rfsv,0.8099174104212746,0.4179876446831927,25,0.8990865132496245,mse
garch_skewt,trailing_rv21,-2.169555171738798,0.030040560499983604,25,0.9358047904204003,mse
gjr_skewt,rv,-2.536965025334263,0.01118181246579808,25,0.9172774966154488,mse
gjr_skewt,har,0.3216650365139314,0.7477064680020213,25,0.8495477450541898,mse
gjr_skewt,rfsv,0.21234084378478904,0.8318411331355362,25,0.8812794656707353,mse
gjr_skewt,trailing_rv21,-2.605145594286347,0.009183522663649635,25,0.9082001939696455,mse
ewma,garch_skewt,0.9547959091186193,0.3396809165843213,25,0.9422637964228623,mse
ewma,gjr_skewt,1.5224202330787187,0.12790381828567976,25,0.8699406779087366,mse
ewma,rv,-2.067937240576671,0.038645924973964574,25,0.9461956179538155,mse
ewma,har,1.2203165735522392,0.2223448893678348,25,0.9094380568868411,mse
ewma,rfsv,0.9918726084029741,0.32125967260684707,25,0.9344422918725674,mse
ewma,trailing_rv21,-2.114940680117395,0.03443500345524142,25,0.9421747699653216,mse
rv,trailing_rv21,1.5269680865771438,0.1267689472590905,25,0.9333230651191564,mse
har,rv,-2.191013213501767,0.028450836269294122,25,0.9658351406399941,mse
har,rfsv,-0.08977452590833397,0.928466391811855,25,0.8891388592358863,mse
har,trailing_rv21,-2.165124216300912,0.03037817391947728,25,0.9617633894751225,mse
rfsv,rv,-1.9355943976317134,0.05291739707282761,25,0.9688143343190903,mse
rfsv,trailing_rv21,-1.8832837583407687,0.059661923295460495,25,0.9677518905894916,mse
egarch_skewt,garch_skewt,-2.0476429595346954,0.040594996713420706,25,0.8994060374379426,mse
egarch_skewt,gjr_skewt,-1.0790349482198835,0.2805721484510215,25,0.8913456034884536,mse
egarch_skewt,ewma,-1.8534299362289681,0.06382075983544633,25,0.945083454269837,mse
egarch_skewt,rv,-2.3721166940933047,0.01768650376105052,25,0.965137559621479,mse
egarch_skewt,har,-1.3746097637069479,0.16925245998727956,25,0.6964964672510763,mse
egarch_skewt,rfsv,-0.9822461089681978,0.3259786169229899,25,0.8749332599362715,mse
egarch_skewt,trailing_rv21,-2.384494042666418,0.01710262491254566,25,0.9626320931178525,mse
