model,min_forecast,qlike_mean,qlike_se,mse_mean,mse_se,qlike_rank,mse_rank
garch_skewt,4.537519298392694e-05,0.23855287216275378,0.04677104462545825,1.1763809674111434e-07,4.24391227798146e-08,5,12
egarch_skewt,2.7110575584242276e-05,0.2430340358242894,0.045276363911804354,1.0735440216121145e-07,3.773503147566653e-08,7,3
gjr_skewt,5.066767579385326e-05,0.22798922453123646,0.04220529386550549,1.0478146824500989e-07,3.770118175037456e-08,1,2
ewma,1.7816802396261366e-05,0.29660802887456833,0.06578809425544217,1.2346758281141494e-07,4.517263083156802e-08,13,13
rv,2.116070297366553e-05,0.29878358854386167,0.05681782489670897,1.6468608091898424e-07,5.943794857869906e-08,15,15
har,4.109189400996017e-05,0.23617793038535606,0.037925537880810045,1.1208692308551188e-07,3.6889061992528045e-08,3,4
rfsv,4.891042724914245e-05,0.26042940882874177,0.048851983928452324,1.1584615164684016e-07,4.096369666329585e-08,11,8
trailing_rv21,2.077535848979248e-05,0.2967906239616221,0.05675705003214844,1.5948126150540067e-07,5.742942261657005e-08,14,14
rfsv_h002,4.7850837056054113e-05,0.2638497933325804,0.05109420759251905,1.1667349239909209e-07,4.132980581600817e-08,12,10
rfsv_h005,4.915006548476037e-05,0.2602866030195035,0.04852140775874542,1.1554622151824896e-07,4.083699522259283e-08,10,6
rfsv_h010,5.219136616205931e-05,0.25729907230510457,0.04458209791252537,1.1499840424991153e-07,4.0414762481042655e-08,8,5
rfsv_h015,5.655077633818306e-05,0.2584314107719568,0.04110247958188495,1.163941226568396e-07,4.0600519484226114e-08,9,9
garch_normal,5.7928679357042144e-05,0.2377300958122273,0.04209475536864656,1.1741204903425263e-07,4.148378020013223e-08,4,11
gjr_normal,6.158093121458864e-05,0.22986204912957653,0.038986850113912605,1.0410092170120988e-07,3.704584751839673e-08,2,1
egarch_normal,3.518802657443481e-05,0.24106976643795286,0.03992805989686452,1.15790579006164e-07,4.046067771559993e-08,6,7
