,realized_vol,vol_target_gap,mad_roll_overlap,mad_nonoverlap,vol_of_vol,frac_within_10pct,frac_within_25pct,n_blocks
gjr_skewt,0.2021298533124797,0.002129853312479696,0.04749973181698537,0.04774570761630023,0.06493003859985043,0.27672955974842767,0.6194968553459119,318.0
gjr_normal,0.19875411549817412,-0.001245884501825889,0.048439676014967875,0.04874155961664326,0.06533485297427988,0.2830188679245283,0.5911949685534591,318.0
garch_skewt,0.20570497398044743,0.00570497398044742,0.04883513493693876,0.04880773721954376,0.06655018141377733,0.27358490566037735,0.6289308176100629,318.0
garch_normal,0.20145797198602938,0.0014579719860293716,0.0491468706019469,0.049009880356734856,0.06572354067354658,0.2861635220125786,0.5723270440251572,318.0
egarch_skewt,0.20662008158792167,0.006620081587921656,0.04866459169422699,0.049034755704857415,0.06774499605265896,0.2578616352201258,0.6163522012578616,318.0
har,0.19876116016636539,-0.0012388398336346251,0.04978892213062357,0.049258836210125376,0.06436488051767861,0.279874213836478,0.5817610062893082,318.0
egarch_normal,0.2026063608653415,0.002606360865341495,0.04962736309740813,0.04997564845512964,0.06757344348614558,0.27044025157232704,0.5849056603773585,318.0
ewma,0.22252091447324182,0.02252091447324181,0.05314321778570149,0.05346428937983233,0.07542389888765917,0.2578616352201258,0.5849056603773585,318.0
rfsv,0.20205950062628705,0.002059500626287042,0.05356883884661796,0.05355598017572563,0.07176101851613285,0.2389937106918239,0.5471698113207547,318.0
rv,0.22314282095093138,0.02314282095093137,0.05365333644091392,0.053564543184897,0.07475955362928052,0.2578616352201258,0.60062893081761,318.0
rfsv_h005,0.20169988720485293,0.0016998872048529234,0.053600183353497075,0.05358249965226132,0.07163872622151173,0.24213836477987422,0.5440251572327044,318.0
rfsv_h010,0.19800257953909173,-0.0019974204609082835,0.0536589299153612,0.05369005879956661,0.06989990548754385,0.22641509433962265,0.5440251572327044,318.0
rfsv_h002,0.20410023289053525,0.004100232890535238,0.05374241195180133,0.053719462655099325,0.07292680201299619,0.24528301886792453,0.550314465408805,318.0
rfsv_h015,0.1948066460789171,-0.005193353921082916,0.05421088123774426,0.05437867260360752,0.06883982058314679,0.22641509433962265,0.5345911949685535,318.0
bench_const_lev,0.19827949906725392,-0.0017205009327460885,0.08960286827808393,0.090313819734356,0.10656563706791886,0.06918238993710692,0.24842767295597484,318.0
bench_uncond_vol,0.1945893989153756,-0.005410601084624406,0.0907466348675424,0.09145401933253446,0.10693744201653121,0.07861635220125786,0.2389937106918239,318.0
bench_buy_hold,0.26792068596934043,0.06792068596934042,0.09702972580291692,0.09741494124400715,0.1457097049465635,0.14150943396226415,0.3805031446540881,318.0
