,ann_mean_excess,ann_vol,sharpe_excess,max_drawdown,cagr,calmar,skew,excess_kurtosis,monthly_q05,monthly_q01,mean_weight,w_q05,w_q50,w_q95,pct_months_at_cap,pct_months_at_zero,mean_monthly_turnover,cost_drag_annual,cash_credit_usd,borrow_paid_usd,days_underwater_total,days_underwater_longest
garch_skewt,0.1171193178292725,0.20570497398044743,0.5692890104361181,-0.5431646710332896,0.12246016974705864,0.22545680210404054,-0.25944427514174817,2.5608267220059138,-0.07885868643593585,-0.10631359111497472,1.0135027452842875,0.41937817289851526,1.042113064776804,1.5318111037591124,0.0,0.0,0.18321267471156427,0.002180704880535933,28321.95347620485,-53429.216347259164,6187.0,1892.0
garch_normal,0.11122063106405389,0.20145797198602938,0.5520074445636407,-0.5786371971072997,0.11680067230885705,0.20185475958469726,-0.23157077656889535,2.523641375720841,-0.07950796283865164,-0.10436732589674685,0.9793709638439063,0.4346421314963627,1.0090886752889312,1.4316041098857744,0.0,0.0,0.174076821699376,0.0017953435743980786,26028.73934120103,-36846.6858853734,6180.0,2654.0
gjr_skewt,0.11186663399569949,0.2021298533124797,0.553378403472681,-0.5510245212547429,0.11730456175744552,0.212884467446803,-0.26938682758456234,2.5168928886382775,-0.07864332164958092,-0.10403198147446355,0.996089289684131,0.39230364162457065,1.03461389731127,1.5241007651599174,0.0,0.0,0.20430944808194554,0.0022032140852197143,27503.08397364035,-47406.439851738454,6204.0,1909.0
gjr_normal,0.10709795825935464,0.19875411549817412,0.5387811476009332,-0.5793063302884043,0.11267439077798946,0.19449880812090414,-0.23527967935996233,2.6435838153771,-0.0793922384948805,-0.10114752000662451,0.9663498258799847,0.4093708198885567,1.013925296289783,1.4218022303624571,0.0,0.0,0.18883704145926303,0.0018153958739297407,25318.58780844809,-34231.127541489244,6193.0,2659.0
egarch_skewt,0.1137128590372707,0.20662008158792167,0.550288540289716,-0.5484792830402164,0.11828802183579312,0.21566543257590975,-0.27649466709369924,2.674107114847619,-0.07776691714783367,-0.10878485206184939,1.0201670023678893,0.4269800391610567,1.0293296153191631,1.7177941719765308,0.01567398119122257,0.0,0.2276696051960366,0.002413732363855356,30477.953683579744,-50362.01101107055,6228.0,2525.0
egarch_normal,0.1080431934313573,0.2026063608653415,0.5332027264847744,-0.5847703268988502,0.11284806494744037,0.19297843915216323,-0.22920488535298048,2.683691603374157,-0.07732762649290315,-0.10065225664410363,0.9826847361242296,0.4588106171902379,0.9827510286320275,1.5806238814007194,0.006269592476489028,0.0,0.20887435704032503,0.0018974780936471313,26943.238902310553,-33812.79960164015,6219.0,2700.0
ewma,0.12985262736602998,0.22252091447324182,0.5834971306496155,-0.5029814750804781,0.13276971055392117,0.26396540853254635,-0.31593114001574,2.9794466602106096,-0.08071681523155641,-0.12728112251698623,1.1144910548804852,0.386162455855182,1.126449348027777,1.9029002048945165,0.03761755485893417,0.0,0.22589759861635972,0.00315419240419832,32768.59740446803,-104195.26147218262,6203.0,1826.0
rv,0.13334443223976283,0.22314282095093138,0.5975162011777733,-0.48940431622217984,0.13651495225788812,0.2789410467641095,-0.3282863029459668,2.7335535670423625,-0.086912141947899,-0.12305202115613177,1.1239737965611465,0.3541449092216415,1.1465722787902217,1.9064777612573947,0.04075235109717868,0.0,0.2399669429020104,0.0038741023704547063,36819.76791593009,-120277.10938724964,6194.0,1713.0
har,0.10652461135674011,0.19876116016636539,0.5358832310306577,-0.5278134062866964,0.1121848280184925,0.21254637847822347,-0.22050137799010472,2.3239660970072857,-0.07736822847686108,-0.10945049535965788,0.9789223647792069,0.41995973664087505,0.97247348867012,1.5591235428177552,0.0,0.0,0.18600448612561063,0.0018881178757207142,26628.34574296379,-33579.648368598835,6202.0,1900.0
rfsv,0.10908857156166442,0.20205950062628705,0.5398226848110741,-0.5124736288582278,0.11439783237409351,0.22322676901242242,-0.21456173577660284,3.139160319244986,-0.07782849062623098,-0.10721690342814269,0.9724410958076143,0.44071323412543245,0.9974141770716323,1.480201228456455,0.0,0.0,0.11701827690560365,0.0012163350397062385,19544.90665417159,-27706.746477476303,6180.0,1891.0
rfsv_h002,0.11057411915944995,0.20410023289053525,0.541703553974683,-0.5132751936478485,0.11558395655361298,0.22518905644388817,-0.21642755935057195,3.228920959596221,-0.07845701710438667,-0.10884526330470583,0.9816800005647374,0.4415995586648735,1.0117062036724298,1.4928841995798703,0.0,0.0,0.11623349812671724,0.0012311347025106372,18687.52851970804,-30791.581160198497,6180.0,1891.0
rfsv_h005,0.10889871338717762,0.20169988720485293,0.539844080622145,-0.5121785586743088,0.11427023931151936,0.2231062534271043,-0.21446718650737082,3.1445153247463975,-0.07740208238318505,-0.10741161138512248,0.9704850686529118,0.4405606311404667,0.9987979181227132,1.4752471678030257,0.0,0.0,0.11717978066418402,0.001212180459259795,19402.521712364836,-27681.504363049226,6181.0,1891.0
rfsv_h010,0.10598336871048114,0.19800257953909173,0.5352011624135252,-0.5138197291584878,0.1118617103601649,0.21770614091320953,-0.20727424552349275,3.0317473839468696,-0.07576557902040598,-0.10516012032428555,0.9511251057530096,0.4426530504276666,0.976959834298805,1.435153249913832,0.0,0.0,0.11681778349614634,0.0011554019124001798,20521.760464532126,-22626.63214821321,6175.0,1891.0
rfsv_h015,0.10296509909903612,0.1948066460789171,0.5284878087795735,-0.520101235861945,0.10920843225211119,0.2099753369574752,-0.194202286709454,2.9647670961588344,-0.07531196056984156,-0.10383716232488523,0.9311475045874249,0.44810317287114354,0.9533910625167062,1.3885422208521068,0.0,0.0,0.1138117132156601,0.0010691653915912065,21389.601961661752,-17700.607748420425,6172.0,1894.0
bench_buy_hold,0.09899850420114918,0.26792068596934043,0.369460394640599,-0.8296390234525186,0.08592094541271256,0.10356425262538284,0.23349433488256527,7.508923382967517,-0.11125782589194642,-0.1959120532091348,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6271.0,3747.0
bench_const_lev,0.07200245656458906,0.19827949906725392,0.363076150332232,-0.7110518125046658,0.07463969201619447,0.10497082027437304,0.17660592744588566,6.983213966969885,-0.0835175287570859,-0.14563983048501422,0.7464895787213947,0.7464895787213947,0.7464895787213947,0.7464895787213947,0.0,0.0,0.009585321417006182,3.7597665936532974e-05,31102.363869735287,0.0,6186.0,3458.0
bench_uncond_vol,0.07081616211547315,0.1945893989153756,0.3638700140559794,-0.6996098134859043,0.0739884891962519,0.1057567915286863,0.20246905151162775,7.959690167522762,-0.07936615718729279,-0.1448523999308679,0.7244153724902069,0.6591515091111623,0.7282107681570646,0.7713185195669253,0.0,0.0,0.009586292916076466,3.5126140218639314e-05,29211.63637107938,0.0,6208.0,3569.0
