subperiod,strategy,n_months,realized_vol,mad_nonoverlap,sharpe_excess
2000-2002,garch_skewt,36,0.23341683123181936,0.05153418967732881,-0.8550538771338764
2000-2002,garch_normal,36,0.24723254166897973,0.057708741439548496,-0.8796660286645765
2000-2002,gjr_skewt,36,0.23528664384545606,0.05097477830293571,-0.8714896906047626
2000-2002,gjr_normal,36,0.24837034327835827,0.05765226052117128,-0.8817228703721431
2000-2002,egarch_skewt,36,0.23962488022646133,0.05217219798207984,-0.8455877139387754
2000-2002,egarch_normal,36,0.25997795921156963,0.06359055064863302,-0.8390645992943029
2000-2002,ewma,36,0.21732781001853943,0.04601000243553125,-0.8318539299026344
2000-2002,rv,36,0.21286395628664204,0.04347543617140359,-0.8203130498049532
2000-2002,har,36,0.2340102138410823,0.04451062282104659,-0.816677803648017
2000-2002,rfsv,36,0.2269725298593405,0.04470292500396791,-0.7980926024980469
2000-2002,rfsv_h002,36,0.22763893012077838,0.045050579921491286,-0.7962306220765336
2000-2002,rfsv_h005,36,0.226652666388561,0.04450023255006352,-0.799421177264457
2000-2002,rfsv_h010,36,0.22709408583258187,0.04421608095845014,-0.8030421049976549
2000-2002,rfsv_h015,36,0.23054381842301958,0.044891695689132795,-0.8028922328941723
2000-2002,bench_buy_hold,36,0.5187531602303058,0.30366856321404223,-0.6729370577452554
2000-2002,bench_const_lev,36,0.3831823017832666,0.17315618594449075,-0.6952677521432731
2000-2002,bench_uncond_vol,36,0.3795900269694328,0.16461865528582695,-0.6660095746926172
2008-2009,garch_skewt,24,0.20968812745160462,0.04852416428690617,0.03515734472107986
2008-2009,garch_normal,24,0.21068276678815093,0.0471205198447626,0.03330026274681699
2008-2009,gjr_skewt,24,0.20667263586504622,0.043889593901189274,0.06198099351309846
2008-2009,gjr_normal,24,0.20663034958347104,0.04327371006054154,0.064605100047786
2008-2009,egarch_skewt,24,0.2084393485158693,0.042997677986524506,0.0700608872527522
2008-2009,egarch_normal,24,0.20781462134172152,0.04299880051890509,0.06088768417487241
2008-2009,ewma,24,0.2128171333861049,0.05098557283120222,0.03352874049289212
2008-2009,rv,24,0.21775630607983718,0.05366167902162936,0.039716196486246365
2008-2009,har,24,0.20624996044205277,0.053783660810289326,-0.012392574778912261
2008-2009,rfsv,24,0.21685896867969512,0.06060308330734674,-0.08530780494421565
2008-2009,rfsv_h002,24,0.21836054963131965,0.0609169300879118,-0.08720047348590447
2008-2009,rfsv_h005,24,0.2158925059386319,0.06036312808229811,-0.08307277639103589
2008-2009,rfsv_h010,24,0.2127862546680806,0.05975067485786051,-0.07587998026056111
2008-2009,rfsv_h015,24,0.21099354756193237,0.0597982732686429,-0.06855612931909134
2008-2009,bench_buy_hold,24,0.3363197044222583,0.11908393022478266,-0.01821045580635148
2008-2009,bench_const_lev,24,0.24630274730619772,0.07918583542464785,-0.03564222023191216
2008-2009,bench_uncond_vol,24,0.22982584696607103,0.07757645402428913,-0.05402703846924272
