sample,model,mse_full,mse_excl_crisis,mse_top1pct_share,qlike_full,qlike_top1pct_share,mse_rank_full,mse_rank_excl
primary,garch_skewt,1.1763809674111434e-07,7.241704818658183e-08,0.5564684318475378,0.23855287216275378,0.3251521316370033,5.0,3.0
primary,egarch_skewt,1.0735440216121145e-07,6.989660250538888e-08,0.5976588770125467,0.2430340358242894,0.3138471211628406,2.0,2.0
primary,gjr_skewt,1.0478146824500989e-07,6.779407040881616e-08,0.553759298452545,0.22798922453123646,0.28898259316998376,1.0,1.0
primary,ewma,1.2346758281141494e-07,7.266653332476916e-08,0.5227937497400502,0.29660802887456833,0.37590128902231285,6.0,4.0
primary,rv,1.6468608091898424e-07,9.684709525185133e-08,0.44512605838532726,0.29878358854386167,0.3096428534552466,8.0,8.0
primary,har,1.1208692308551188e-07,7.637345453988667e-08,0.5569221927965956,0.23617793038535606,0.2598434737987424,3.0,6.0
primary,rfsv,1.1584615164684016e-07,7.28024992064299e-08,0.6208701040306487,0.26042940882874177,0.33660169042726656,4.0,5.0
primary,trailing_rv21,1.5948126150540067e-07,9.364628159999655e-08,0.44399168212240386,0.2967906239616221,0.3117850314592104,7.0,7.0
secondary,garch_skewt,1.1571061607209089e-07,7.337075341598147e-08,0.4600582097441814,0.2505318105535643,0.3825977522909864,5.0,4.0
secondary,egarch_skewt,1.0115262529178016e-07,6.61757525321171e-08,0.4946748205402413,0.2657662049387269,0.40009704722545186,1.0,1.0
secondary,gjr_skewt,1.0997531754760892e-07,6.831739064491125e-08,0.49502065737122025,0.24600403426537965,0.3675547475811036,4.0,2.0
secondary,ewma,1.199700874381228e-07,7.363725533354774e-08,0.4293105088171658,0.31537128456618707,0.44044434308577735,6.0,5.0
secondary,rv,1.472285624759423e-07,9.247588509109481e-08,0.3950703749296951,0.3143993573122321,0.3548825219672943,8.0,8.0
secondary,har,1.0691724545169007e-07,7.388131713511875e-08,0.45752621327438947,0.2399613069709282,0.30568000094769315,2.0,6.0
secondary,rfsv,1.0746813996567317e-07,6.859104833346981e-08,0.5116550085656872,0.2594544772542585,0.3446488796197904,3.0,3.0
secondary,trailing_rv21,1.4336624623599437e-07,9.024941392603479e-08,0.39413014737639307,0.31368769606770386,0.3570627516631482,7.0,7.0
