set,loss,block,model,mcs_p,retained
primary,qlike,2,garch_skewt,1.0,True
primary,qlike,2,egarch_skewt,1.0,True
primary,qlike,2,gjr_skewt,1.0,True
primary,qlike,2,ewma,0.0673,False
primary,qlike,2,rv,0.0275,False
primary,qlike,2,har,1.0,True
primary,qlike,2,rfsv,1.0,True
primary,qlike,2,trailing_rv21,0.0255,False
primary,qlike,5,garch_skewt,1.0,True
primary,qlike,5,egarch_skewt,1.0,True
primary,qlike,5,gjr_skewt,1.0,True
primary,qlike,5,ewma,0.0737,False
primary,qlike,5,rv,0.0301,False
primary,qlike,5,har,1.0,True
primary,qlike,5,rfsv,1.0,True
primary,qlike,5,trailing_rv21,0.0277,False
primary,qlike,10,garch_skewt,1.0,True
primary,qlike,10,egarch_skewt,1.0,True
primary,qlike,10,gjr_skewt,1.0,True
primary,qlike,10,ewma,0.0825,False
primary,qlike,10,rv,0.0319,False
primary,qlike,10,har,1.0,True
primary,qlike,10,rfsv,1.0,True
primary,qlike,10,trailing_rv21,0.0321,False
primary,mse,2,garch_skewt,1.0,True
primary,mse,2,egarch_skewt,1.0,True
primary,mse,2,gjr_skewt,1.0,True
primary,mse,2,ewma,1.0,True
primary,mse,2,rv,0.0862,False
primary,mse,2,har,1.0,True
primary,mse,2,rfsv,1.0,True
primary,mse,2,trailing_rv21,1.0,True
primary,mse,5,garch_skewt,1.0,True
primary,mse,5,egarch_skewt,1.0,True
primary,mse,5,gjr_skewt,1.0,True
primary,mse,5,ewma,1.0,True
primary,mse,5,rv,0.0572,False
primary,mse,5,har,1.0,True
primary,mse,5,rfsv,1.0,True
primary,mse,5,trailing_rv21,0.0725,False
primary,mse,10,garch_skewt,1.0,True
primary,mse,10,egarch_skewt,1.0,True
primary,mse,10,gjr_skewt,1.0,True
primary,mse,10,ewma,1.0,True
primary,mse,10,rv,0.0386,False
primary,mse,10,har,1.0,True
primary,mse,10,rfsv,1.0,True
primary,mse,10,trailing_rv21,0.0521,False
sensitivity,qlike,2,garch_skewt,1.0,True
sensitivity,qlike,2,egarch_skewt,1.0,True
sensitivity,qlike,2,gjr_skewt,1.0,True
sensitivity,qlike,2,ewma,1.0,True
sensitivity,qlike,2,rv,0.0764,False
sensitivity,qlike,2,har,1.0,True
sensitivity,qlike,2,rfsv,1.0,True
sensitivity,qlike,2,trailing_rv21,0.0834,False
sensitivity,qlike,2,rfsv_h002,1.0,True
sensitivity,qlike,2,rfsv_h005,1.0,True
sensitivity,qlike,2,rfsv_h010,1.0,True
sensitivity,qlike,2,rfsv_h015,1.0,True
sensitivity,qlike,2,garch_normal,1.0,True
sensitivity,qlike,2,gjr_normal,1.0,True
sensitivity,qlike,2,egarch_normal,1.0,True
