loss,set,model,mcs_p,retained
qlike,with_egarch,garch_skewt,1.0,True
qlike,with_egarch,gjr_skewt,1.0,True
qlike,with_egarch,ewma,0.0051,False
qlike,with_egarch,rv,0.0001,False
qlike,with_egarch,har,1.0,True
qlike,with_egarch,rfsv,1.0,True
qlike,with_egarch,trailing_rv21,0.0002,False
qlike,with_egarch,egarch_skewt,1.0,True
qlike,without_egarch,garch_skewt,1.0,True
qlike,without_egarch,gjr_skewt,1.0,True
qlike,without_egarch,ewma,0.0041,False
qlike,without_egarch,rv,0.0,False
qlike,without_egarch,har,1.0,True
qlike,without_egarch,rfsv,1.0,True
qlike,without_egarch,trailing_rv21,0.0,False
mse,with_egarch,garch_skewt,1.0,True
mse,with_egarch,gjr_skewt,1.0,True
mse,with_egarch,ewma,1.0,True
mse,with_egarch,rv,0.0113,False
mse,with_egarch,har,1.0,True
mse,with_egarch,rfsv,1.0,True
mse,with_egarch,trailing_rv21,0.0132,False
mse,with_egarch,egarch_skewt,1.0,True
mse,without_egarch,garch_skewt,1.0,True
mse,without_egarch,gjr_skewt,1.0,True
mse,without_egarch,ewma,1.0,True
mse,without_egarch,rv,0.0115,False
mse,without_egarch,har,1.0,True
mse,without_egarch,rfsv,1.0,True
mse,without_egarch,trailing_rv21,0.0137,False
