Strategy,Final value of $100k,Total return,CAGR,Ann. volatility,Sharpe,Max drawdown,Calmar,Longest drawdown (yrs),Vol-target error
"GARCH(1,1)",$2.21M,2113%,12.2%,20.6%,0.57,-54%,0.23,7.5,0.049
EGARCH,$2.01M,1911%,11.8%,20.7%,0.55,-55%,0.22,10.0,0.049
GJR-GARCH,$1.96M,1862%,11.7%,20.2%,0.55,-55%,0.21,7.6,0.048
EWMA,$2.82M,2717%,13.3%,22.3%,0.58,-50%,0.26,7.2,0.053
Realized variance,$3.08M,2979%,13.7%,22.3%,0.60,-49%,0.28,6.8,0.054
HAR-RV,$1.73M,1634%,11.2%,19.9%,0.54,-53%,0.21,7.5,0.049
Rough volatility,$1.82M,1724%,11.4%,20.2%,0.54,-51%,0.22,7.5,0.054
Buy & hold,$928K,828%,8.6%,26.8%,0.37,-83%,0.10,14.9,0.097
Constant leverage,$697K,597%,7.5%,19.8%,0.36,-71%,0.10,13.7,0.090
Unconditional vol,$688K,588%,7.4%,19.5%,0.36,-70%,0.11,14.2,0.091
