strategy,sharpe_excess,sharpe_total,w_bar,term_wbar_ExQ_ann,term_cov_ann,term_financing_drag_ann,mean_gross_excess_ann,recon_residual
garch_skewt,0.5692890104361181,0.6704257135113465,1.012934893757655,0.10027903933515779,0.018052953697633316,0.0007723402195098313,0.11755965281328128,0.0
garch_normal,0.5520074445636407,0.655279192414438,0.9790246382347892,0.09692197476131532,0.015309511912070422,0.0005924294443542467,0.11163905722903152,1.0842021724855044e-19
gjr_skewt,0.553378403472681,0.6562970187042184,0.9958521420940767,0.09858787247282386,0.014480557725413595,0.0007109844887450436,0.11235744570949244,1.0842021724855044e-19
gjr_normal,0.5387811476009332,0.643451050375515,0.9663883126517419,0.09567099742999492,0.01243816645278947,0.0005574970534071693,0.10755166682937721,-5.421010862427522e-20
egarch_skewt,0.550288540289716,0.6509698579537064,1.0200934281812837,0.10098772353536947,0.014125842871698225,0.0008540623736987594,0.11425950403336893,-5.421010862427522e-20
egarch_normal,0.5332027264847744,0.6358822053044336,0.9828736351498822,0.09730301969858436,0.011896830969864675,0.000655153815481005,0.10854469685296807,1.0842021724855044e-19
ewma,0.5834971306496155,0.6769845155770596,1.11329774957795,0.11021481193872258,0.021472034336158647,0.0012912275002192762,0.1303956187746619,-2.168404344971009e-19
rv,0.5975162011777733,0.6907460329994606,1.1229171691523092,0.11116712008786742,0.024092213357705058,0.0013385418742341867,0.1339207915713383,1.0842021724855044e-19
har,0.5358832310306577,0.6405436423020362,0.9785245303036163,0.09687246482419007,0.010758343117977614,0.0006592261318604419,0.10697158181030726,5.421010862427522e-20
rfsv,0.5398226848110741,0.6427767923978013,0.9716790146819331,0.09619476901715783,0.013726160885303795,0.000551060860303717,0.10936986904215792,5.421010862427522e-20
rfsv_h002,0.541703553974683,0.643628394850027,0.980840317775261,0.09710172431993067,0.014334393737864647,0.0005825749258299874,0.11085354313196537,1.6263032587282567e-19
rfsv_h005,0.539844080622145,0.6429815172869328,0.9697173030167935,0.09600056249663506,0.013723476326203287,0.0005436404385325141,0.10918039838430585,5.421010862427522e-20
rfsv_h010,0.5352011624135252,0.6402641578204998,0.9504842666931653,0.09409652066934952,0.012639763154897059,0.00047211792162198357,0.1062641659026246,5.421010862427522e-20
rfsv_h015,0.5284878087795735,0.6352744514337771,0.9306518587968984,0.09213314195291203,0.01149830549521893,0.00039278625248686264,0.10323866119564405,-1.0842021724855044e-19
bench_buy_hold,0.369460394640599,0.4471065378626987,1.0,0.09899850420114917,0.0,0.0,0.09899850420114917,0.0
bench_const_lev,0.363076150332232,0.46799110914395015,0.7470940174062488,0.07396119022084593,-0.001935678790949276,0.0,0.07202551142989666,5.421010862427522e-20
bench_uncond_vol,0.3638700140559794,0.4707694702305631,0.7253421322198057,0.07180778612383293,-0.0009685639115221274,0.0,0.07083922221231082,0.0
