strategy,sharpe_excess_ann,realized_vol,sr_daily,dsr,skew,kurtosis
garch_skewt,0.5692890104361181,0.20570497398044743,0.035861836803238636,0.9967556552846752,-0.2598908343630891,5.55475688896001
garch_normal,0.5520074445636407,0.20145797198602938,0.03477320048027778,0.9957955573714374,-0.23260473053326333,5.517265244360079
gjr_skewt,0.553378403472681,0.2021298533124797,0.034859562773873226,0.9958605952106361,-0.2701191489483204,5.510105371725102
gjr_normal,0.5387811476009332,0.19875411549817412,0.033940022086715566,0.9948781723385662,-0.23663342977185411,5.636307854363788
egarch_skewt,0.550288540289716,0.20662008158792167,0.03466491968893656,0.9956595024536169,-0.277000917976447,5.667121828925709
egarch_normal,0.5332027264847744,0.2026063608653415,0.033588614587150144,0.9944457268475717,-0.23074432795356214,5.676058503287168
ewma,0.5834971306496155,0.22252091447324182,0.03675686424806302,0.9973757253815279,-0.3154285826271756,5.973379994532613
rv,0.5975162011777733,0.22314282095093138,0.03763998268210541,0.9978956762118374,-0.32748727882291806,5.7279045773197925
har,0.5358832310306577,0.19876116016636539,0.03375747050183075,0.9946674066170865,-0.22121317542609598,5.317332854861796
rfsv,0.5398226848110741,0.20205950062628705,0.03400563276384063,0.9949672499525997,-0.21482286112632132,6.131801952064393
rfsv_h002,0.541703553974683,0.20410023289053525,0.03412411638421108,0.9951035723082782,-0.2166358332192851,6.221529825255858
rfsv_h005,0.539844080622145,0.20169988720485293,0.03400698057324996,0.9949688645339541,-0.2147355601814466,6.137153101489171
rfsv_h010,0.5352011624135252,0.19800257953909173,0.03371450421759231,0.994618807569757,-0.2077133696165474,6.024408971484303
rfsv_h015,0.5284878087795735,0.1948066460789171,0.033291602689528785,0.9940751990889044,-0.19492353286214562,5.957398996711771
trailing_rv21,0.6012328705644165,0.22289699316348005,0.037874110846450766,0.9980173899778337,-0.32804326011622276,5.754334876769993
bench_buy_hold,0.369460394640599,0.26792068596934043,0.02327381722635252,0.9564320031277055,0.2274361838390284,10.492020062049644
bench_const_lev,0.363076150332232,0.19827949906725392,0.02287164763709017,0.9531931652559565,0.16863649110990478,9.965731390946491
bench_uncond_vol,0.3638700140559794,0.1945893989153756,0.02292165635108806,0.9536277057250365,0.19285782670090412,10.935624780474981
