,garch_skewt,garch_normal,gjr_skewt,gjr_normal,egarch_skewt,egarch_normal,ewma,rv,har,rfsv,rfsv_h002,rfsv_h005,rfsv_h010,rfsv_h015,trailing_rv21,bench_buy_hold,bench_const_lev,bench_uncond_vol
garch_skewt,1.0,0.06149353522884149,0.17378398468255618,0.04595872380565025,0.18861042691039764,0.03753927057576911,0.41501360661336983,0.27933903625838896,0.14731095393326488,0.2967668668296728,0.33526728104055303,0.29823003308628016,0.22572882455647347,0.1537259551650758,0.20226552106206208,0.011395071309124427,0.008674897979269902,0.009280558545713857
garch_normal,0.06149353522884149,1.0,0.9091676528362513,0.20134410838831363,0.9206874568039563,0.1932769249231101,0.22508149342422867,0.15784582523389634,0.4874955991836796,0.6641063955178106,0.7185087764383757,0.6649236952338273,0.5394503464227627,0.3843685499728997,0.11770451765268075,0.012015793887899306,0.008924818346842889,0.009603675518362609
gjr_skewt,0.17378398468255618,0.9091676528362513,1.0,0.05638512482101943,0.8025331224448091,0.15429582597820768,0.2155847325333975,0.14862373099532866,0.47107672514678534,0.6696692025194277,0.7175857409186679,0.6704701048626269,0.5617514787593574,0.4278657774772965,0.10194120059057998,0.019974097029691995,0.015584221339457693,0.016481619309664186
gjr_normal,0.04595872380565025,0.20134410838831363,0.05638512482101943,1.0,0.48042358543467634,0.6571141171833916,0.13783601871941853,0.09583699347498831,0.9071823362192526,0.9734870480210398,0.9270436328392886,0.9729443191184766,0.9066027782883044,0.7315700909943634,0.06869008398403764,0.02177601355283243,0.01671796850165297,0.017569996260816678
egarch_skewt,0.18861042691039764,0.9206874568039563,0.8025331224448091,0.48042358543467634,1.0,0.11460843756771122,0.13320316695255707,0.10437097761528591,0.5758508156937685,0.7417434891160855,0.7895079222228611,0.7428776490950639,0.6335881693960492,0.49623575787813734,0.06567694909438693,0.02317146548984006,0.018267288305598983,0.018899846201833048
egarch_normal,0.03753927057576911,0.1932769249231101,0.15429582597820768,0.6571141171833916,0.11460843756771122,1.0,0.09139838109911436,0.06701916721042656,0.9145504465519838,0.8229008952471086,0.7776381007622177,0.8225392247857966,0.944842037807569,0.8681700528209721,0.04653274526438933,0.020604707580976322,0.01562696753412296,0.01584611199522179
ewma,0.41501360661336983,0.22508149342422867,0.2155847325333975,0.13783601871941853,0.13320316695255707,0.09139838109911436,1.0,0.5368421853153311,0.13033876544638678,0.22843213057617628,0.2505230705439676,0.23002869197564824,0.19133352689545724,0.15207335705248237,0.4030040532032837,0.019420232570461327,0.015693132124392717,0.01638154343779963
rv,0.27933903625838896,0.15784582523389634,0.14862373099532866,0.09583699347498831,0.10437097761528591,0.06701916721042656,0.5368421853153311,1.0,0.018879873204243225,0.10450714284938023,0.1175560808266991,0.10552743368869688,0.08523871407321693,0.0669968793814244,0.3592060697388262,0.013649932257609798,0.01096644630880883,0.011401256386098346
har,0.14731095393326488,0.4874955991836796,0.47107672514678534,0.9071823362192526,0.5758508156937685,0.9145504465519838,0.13033876544638678,0.018879873204243225,1.0,0.8532846431935857,0.7919497957599575,0.8525908242333102,0.9734177974013245,0.7173074642696213,0.013792296076203359,0.026710842486187047,0.02081596795130025,0.021570694099797283
rfsv,0.2967668668296728,0.6641063955178106,0.6696692025194277,0.9734870480210398,0.7417434891160855,0.8229008952471086,0.22843213057617628,0.10450714284938023,0.8532846431935857,1.0,0.08139068324957477,0.9646128952225679,0.05609845047111617,0.034371065043655724,0.08914652807521617,0.016140765548969593,0.01206328466828177,0.011447804257062488
rfsv_h002,0.33526728104055303,0.7185087764383757,0.7175857409186679,0.9270436328392886,0.7895079222228611,0.7776381007622177,0.2505230705439676,0.1175560808266991,0.7919497957599575,0.08139068324957477,1.0,0.09584510807305135,0.04796327098055975,0.03192112360564714,0.10068994201550985,0.015628699176244876,0.01168789565580819,0.011001335051252559
rfsv_h005,0.29823003308628016,0.6649236952338273,0.6704701048626269,0.9729443191184766,0.7428776490950639,0.8225392247857966,0.23002869197564824,0.10552743368869688,0.8525908242333102,0.9646128952225679,0.09584510807305135,1.0,0.03713376485424158,0.028873047385746586,0.09007666181265739,0.016063886147875683,0.011997949284925147,0.011364654560871879
rfsv_h010,0.22572882455647347,0.5394503464227627,0.5617514787593574,0.9066027782883044,0.6335881693960492,0.944842037807569,0.19133352689545724,0.08523871407321693,0.9734177974013245,0.05609845047111617,0.04796327098055975,0.03713376485424158,1.0,0.02727599345065146,0.07250404058833215,0.01663003730467083,0.012342403521119483,0.011799457396736823
rfsv_h015,0.1537259551650758,0.3843685499728997,0.4278657774772965,0.7315700909943634,0.49623575787813734,0.8681700528209721,0.15207335705248237,0.0669968793814244,0.7173074642696213,0.034371065043655724,0.03192112360564714,0.028873047385746586,0.02727599345065146,1.0,0.056992458463875906,0.01691834397344527,0.012395617032250117,0.011935452955234904
trailing_rv21,0.20226552106206208,0.11770451765268075,0.10194120059057998,0.06869008398403764,0.06567694909438693,0.04653274526438933,0.4030040532032837,0.3592060697388262,0.013792296076203359,0.08914652807521617,0.10068994201550985,0.09007666181265739,0.07250404058833215,0.056992458463875906,1.0,0.012449176334197176,0.009976978911420797,0.010394412301654388
bench_buy_hold,0.011395071309124427,0.012015793887899306,0.019974097029691995,0.02177601355283243,0.02317146548984006,0.020604707580976322,0.019420232570461327,0.013649932257609798,0.026710842486187047,0.016140765548969593,0.015628699176244876,0.016063886147875683,0.01663003730467083,0.01691834397344527,0.012449176334197176,1.0,0.04452977827055915,0.6173406301407938
bench_const_lev,0.008674897979269902,0.008924818346842889,0.015584221339457693,0.01671796850165297,0.018267288305598983,0.01562696753412296,0.015693132124392717,0.01096644630880883,0.02081596795130025,0.01206328466828177,0.01168789565580819,0.011997949284925147,0.012342403521119483,0.012395617032250117,0.009976978911420797,0.04452977827055915,1.0,0.942146186054907
bench_uncond_vol,0.009280558545713857,0.009603675518362609,0.016481619309664186,0.017569996260816678,0.018899846201833048,0.01584611199522179,0.01638154343779963,0.011401256386098346,0.021570694099797283,0.011447804257062488,0.011001335051252559,0.011364654560871879,0.011799457396736823,0.011935452955234904,0.010394412301654388,0.6173406301407938,0.942146186054907,1.0
